,EntryID,Reaction,ECNumber,UniProtKB_AC,Tissue,Organism,Temperature,pH,Buffer,CellularLocation,Enzyme Variant,Enzymename,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
625,36196,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,red muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
626,36197,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,white muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
627,36198,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,white muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
628,36199,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,liver,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
629,36200,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,liver,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
630,36201,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,heart,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
631,36202,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,heart,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
632,36203,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,red muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
633,36204,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,red muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
634,36205,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,white muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
635,36206,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,white muscle,Trachemys scripta,23.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
636,36260,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,brain,Mus musculus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
637,36261,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,brain,Mus musculus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
638,36274,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,brain,Mus musculus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
639,36275,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,brain,Mus musculus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
640,36354,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
641,36355,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
642,36356,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
643,36357,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
644,36358,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
645,36359,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
646,36360,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
647,36361,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
648,36362,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,leaf,Ricinus communis,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
649,36555,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P47857,leg muscle,Mus musculus,37.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
650,36557,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P47857,leg muscle,Mus musculus,37.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
651,36788,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Blastocladiella emersonii,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
652,36789,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Blastocladiella emersonii,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
653,36790,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Blastocladiella emersonii,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
654,37283,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
655,37284,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
656,37285,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
657,37286,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
658,37287,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
659,37288,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
660,37289,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
661,37290,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
662,37291,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
663,37292,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
664,37293,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
665,37294,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
666,37295,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
667,37301,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
668,37302,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
669,37303,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
670,37304,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
671,37305,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
672,37306,"ATP + Glucose 6-phosphate = ADP + Glucose 1,6-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
673,37307,ATP + Adenosine = ADP + AMP,2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
674,37308,ATP + D-Fructose = ADP + D-Fructose 1-phosphate,2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
675,37309,"ATP + D-Ribose 5-phosphate = ADP + D-Ribose 1,5-bisphosphate",2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
676,37310,ATP + Ribose = ADP + Ribose 1-phosphate,2.7.1.11,Q9YG89,-,Aeropyrum pernix,85.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
677,37633,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P16861,-,Saccharomyces cerevisiae,30.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
678,37634,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P16861,-,Saccharomyces cerevisiae,30.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
679,37657,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
680,37658,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
681,37659,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
682,37660,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
683,37661,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,6.5, , , , , , , , , , , , , , , , , , , , , , , 
684,37662,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
685,37663,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
686,37664,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
687,37665,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
688,37666,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
689,37667,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
690,37668,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
691,37669,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
692,37670,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
693,37671,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
694,37672,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Selenastrum minutum,20.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
695,37673,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
696,37674,"D-Fructose 6-phosphate + 1-Carboxymethyl-ATP = D-Fructose 1,6-bisphosphate + 1-Carboxymethyl-ADP",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
697,37675,"D-Fructose 1-phosphate + ATP = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
698,37676,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
699,37677,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
700,37678,D-Fructose 6-phosphate + Adenosine 5-O-(3-thiotriphosphate) = ADP + D-Fructose 6-phosphate-gamma-S,2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
701,37679,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
702,37680,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
703,37681,D-Fructose 6-phosphate + Adenosine 5-O-(3-thiotriphosphate) = ADP + D-Fructose 6-phosphate-gamma-S,2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
704,37682,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
705,37683,"D-Fructose 1-phosphate + ATP = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Escherichia coli,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
706,37703,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
707,37704,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
708,37705,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
709,37706,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
710,37707,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
711,37708,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
712,37709,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
713,37710,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
714,37711,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
715,37712,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
716,37713,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
717,37714,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
718,37715,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
719,37716,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
720,37717,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
721,37718,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
722,37719,"UTP + D-Fructose 6-phosphate = UDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
723,37720,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
724,37721,"CTP + D-Fructose 6-phosphate = CDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
725,37722,"GTP + D-Fructose 6-phosphate = GDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
726,37723,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
727,37724,"UTP + D-Fructose 6-phosphate = UDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
728,37725,"CTP + D-Fructose 6-phosphate = CDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
729,37726,"GTP + D-Fructose 6-phosphate = GDP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00512,-,Geobacillus stearothermophilus,30.0,8.2, , , , , , , , , , , , , , , , , , , , , , , 
730,37940,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
731,37941,"ATP + D-Psicose 6-phosphate = ADP + D-Psicose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
732,37942,"ATP + D-Tagatose 6-phosphate = D-Tagatose 1,6-bisphosphate + ADP",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
733,37943,"ATP + L-Sorbose 6-phosphate = ADP + L-Sorbose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
734,38160,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,skeletal muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
735,38161,"ATP + 2,5-Anhydro-D-mannitol 1-phosphate = ADP + 2,5-Anhydro-D-mannitol 1,6-bisphosphate",2.7.1.11,P00511,skeletal muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
736,38162,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,skeletal muscle,Oryctolagus cuniculus,28.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
737,38489,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P47858,heart muscle,Rattus norvegicus,25.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
738,38490,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P47858,heart muscle,Rattus norvegicus,25.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
739,38491,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P47858,heart muscle,Rattus norvegicus,25.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
740,38567,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
741,38568,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
742,38569,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
743,38570,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
744,38571,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
745,38572,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
746,38573,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
747,38574,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11,P00511,muscle,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
748,38575,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
749,38576,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
750,38577,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
751,38578,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
752,38579,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
753,38580,"ATP + Sedoheptulose 7-phosphate = Sedoheptulose 1,7-bisphosphate + ADP",2.7.1.11, ,liver,Oryctolagus cuniculus,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
754,38868,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Lactobacillus casei,-,7.2, , , , , , , , , , , , , , , , , , , , , , , 
755,38869,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Lactobacillus plantarum,-,7.2, , , , , , , , , , , , , , , , , , , , , , , 
756,38870,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Lactobacillus casei,-,7.2, , , , , , , , , , , , , , , , , , , , , , , 
757,38871,"ATP + D-Fructose 6-phosphate = ADP + D-Fructose 1,6-bisphosphate",2.7.1.11, ,-,Lactobacillus plantarum,-,7.2, , , , , , , , , , , , , , , , , , , , , , , 
